Fecha,SP1
01/11/1986,1.945171412
01/12/1986,2.098822995
01/01/1987,2.268762649
01/02/1987,2.432470572
01/03/1987,2.593225021
01/04/1987,2.820119431
01/05/1987,3.032724052
01/06/1987,3.252120148
01/07/1987,3.515516574
01/08/1987,3.802838856
01/09/1987,4.053368746
01/10/1987,4.391158069
01/11/1987,4.739467965
01/12/1987,5.439478729
01/01/1988,6.28055153
01/02/1988,6.80439664
01/03/1988,7.152836449
01/04/1988,7.372994794
01/05/1988,7.515648197
01/06/1988,7.668971189
01/07/1988,7.796977554
01/08/1988,7.86870735
01/09/1988,7.913693455
01/10/1988,7.974056367
01/11/1988,8.080769414
01/12/1988,8.249371787
01/01/1989,8.451312551
01/02/1989,8.566001517
01/03/1989,8.658862254
01/04/1989,8.788353003
01/05/1989,8.909317634
01/06/1989,9.017518878
01/07/1989,9.107720335
01/08/1989,9.194488804
01/09/1989,9.282422617
01/10/1989,9.419703978
01/11/1989,9.55192469
01/12/1989,9.874287533
01/01/1990,10.35083877
01/02/1990,10.58522578
01/03/1990,10.77183558
01/04/1990,10.93577849
01/05/1990,11.12661601
01/06/1990,11.37167642
01/07/1990,11.57905991
01/08/1990,11.77635267
01/09/1990,11.94422145
01/10/1990,12.11593396
01/11/1990,12.4376167
01/12/1990,12.82961936
01/01/1991,13.15663021
01/02/1991,13.38630808
01/03/1991,13.57721055
01/04/1991,13.71943793
01/05/1991,13.85355376
01/06/1991,13.99891993
01/07/1991,14.12262981
01/08/1991,14.22091799
01/09/1991,14.36258563
01/10/1991,14.52963103
01/11/1991,14.89040629
01/12/1991,15.24089786
01/01/1992,15.51790207
01/02/1992,15.70175899
01/03/1992,15.86155633
01/04/1992,16.00295269
01/05/1992,16.10846601
01/06/1992,16.21749445
01/07/1992,16.31989382
01/08/1992,16.42015353
01/09/1992,16.56298842
01/10/1992,16.6822528
01/11/1992,16.82085807
01/12/1992,17.06037067
01/01/1993,17.27436988
01/02/1993,17.41550261
01/03/1993,17.51699835
01/04/1993,17.61801267
01/05/1993,17.71872134
01/06/1993,17.81810227
01/07/1993,17.90372831
01/08/1993,17.99955398
01/09/1993,18.13286363
01/10/1993,18.20702345
01/11/1993,18.28732903
01/12/1993,18.42676723
01/01/1994,18.56962314
01/02/1994,18.66512978
01/03/1994,18.76110447
01/04/1994,18.85298708
01/05/1994,18.94407687
01/06/1994,19.03886902
01/07/1994,19.12330489
01/08/1994,19.21243652
01/09/1994,19.34907599
01/10/1994,19.45065197
01/11/1994,19.55463314
01/12/1994,19.72613932
01/01/1995,20.46862019
01/02/1995,21.33613293
01/03/1995,22.59392133
01/04/1995,24.3942825
01/05/1995,25.4138631
01/06/1995,26.22043406
01/07/1995,26.75496405
01/08/1995,27.19875002
01/09/1995,27.76136288
01/10/1995,28.33257255
01/11/1995,29.03120591
01/12/1995,29.97704506
01/01/1996,31.05470183
01/02/1996,31.77950767
01/03/1996,32.47909623
01/04/1996,33.40239265
01/05/1996,34.01123721
01/06/1996,34.56506223
01/07/1996,35.05641717
01/08/1996,35.52236378
01/09/1996,36.09032576
01/10/1996,36.54079814
01/11/1996,37.09443212
01/12/1996,38.28212794
01/01/1997,39.26655717
01/02/1997,39.92640941
01/03/1997,40.4233045
01/04/1997,40.860022
01/05/1997,41.23293212
01/06/1997,41.59877377
01/07/1997,41.96117668
01/08/1997,42.33427784
01/09/1997,42.86154831
01/10/1997,43.20408307
01/11/1997,43.68741432
01/12/1997,44.29950655
01/01/1998,45.26330346
01/02/1998,46.05573748
01/03/1998,46.5952345
01/04/1998,47.03118783
01/05/1998,47.40581731
01/06/1998,47.9661377
01/07/1998,48.42864559
01/08/1998,48.89421013
01/09/1998,49.68721726
01/10/1998,50.39922341
01/11/1998,51.2917624
01/12/1998,52.54326558
01/01/1999,53.87012062
01/02/1999,54.59408022
01/03/1999,55.10129148
01/04/1999,55.60697442
01/05/1999,55.94148549
01/06/1999,56.3090465
01/07/1999,56.68119247
01/08/1999,57.0002293
01/09/1999,57.55099768
01/10/1999,57.91550204
01/11/1999,58.43054594
01/12/1999,59.01589258
01/01/2000,59.80832658
01/02/2000,60.33884472
01/03/2000,60.6733558
01/04/2000,61.01856512
01/05/2000,61.24666691
01/06/2000,61.60945191
01/07/2000,61.84978026
01/08/2000,62.18964046
01/09/2000,62.64393363
01/10/2000,63.075302
01/11/2000,63.61460798
01/12/2000,64.30330726
01/01/2001,64.65978794
01/02/2001,64.61699498
01/03/2001,65.02639374
01/04/2001,65.35440947
01/05/2001,65.50437588
01/06/2001,65.65930934
01/07/2001,65.4887106
01/08/2001,65.87671289
01/09/2001,66.48995136
01/10/2001,66.79045731
01/11/2001,67.04205702
01/12/2001,67.13490247
01/01/2002,67.7546363
01/02/2002,67.71107918
01/03/2002,68.05743473
01/04/2002,68.42919862
01/05/2002,68.56789368
01/06/2002,68.90221371
01/07/2002,69.10001172
01/08/2002,69.36274679
01/09/2002,69.77995076
01/10/2002,70.0875094
01/11/2002,70.65435513
01/12/2002,70.96191376
01/01/2003,71.24878459
01/02/2003,71.44669788
01/03/2003,71.89769193
01/04/2003,72.02043955
01/05/2003,71.78804659
01/06/2003,71.84735162
01/07/2003,71.95148021
01/08/2003,72.16732293
01/09/2003,72.59693958
01/10/2003,72.86312262
01/11/2003,73.46789598
01/12/2003,73.78372973
01/01/2004,74.24230931
01/02/2004,74.68640743
01/03/2004,74.93948818
01/04/2004,75.05258149
01/05/2004,74.86432251
01/06/2004,74.98431175
01/07/2004,75.18084586
01/08/2004,75.64494218
01/09/2004,76.27040334
01/10/2004,76.79863185
01/11/2004,77.45374553
01/12/2004,77.61373118
01/01/2005,77.61648956
01/02/2005,77.87508706
01/03/2005,78.22609007
01/04/2005,78.50468579
01/05/2005,78.30746209
01/06/2005,78.23229641
01/07/2005,78.53847586
01/08/2005,78.63226056
01/09/2005,78.94740472
01/10/2005,79.14118045
01/11/2005,79.71078455
01/12/2005,80.20039583
01/01/2006,80.67069849
01/02/2006,80.7941357
01/03/2006,80.89550592
01/04/2006,81.01411598
01/05/2006,80.65345866
01/06/2006,80.72310758
01/07/2006,80.94446705
01/08/2006,81.35753346
01/09/2006,82.17883914
01/10/2006,82.53811727
01/11/2006,82.97118189
01/12/2006,83.45113886
01/01/2007,83.88213471
01/02/2007,84.11659644
01/03/2007,84.29864909
01/04/2007,84.24830877
01/05/2007,83.83731114
01/06/2007,83.93799177
01/07/2007,84.29451153
01/08/2007,84.63792901
01/09/2007,85.29511147
01/10/2007,85.62749547
01/11/2007,86.23157924
01/12/2007,86.588099
01/01/2008,86.98944233
01/02/2008,87.24803983
01/03/2008,87.88039693
01/04/2008,88.080379
01/05/2008,87.98521512
01/06/2008,88.34932041
01/07/2008,88.84169006
01/08/2008,89.35474751
01/09/2008,89.96365843
01/10/2008,90.57670692
01/11/2008,91.60626978
01/12/2008,92.24069566
01/01/2009,92.4544696
01/02/2009,92.65858923
01/03/2009,93.19164489
01/04/2009,93.51782254
01/05/2009,93.24543317
01/06/2009,93.41714191
01/07/2009,93.67160186
01/08/2009,93.89571969
01/09/2009,94.36671195
01/10/2009,94.6522036
01/11/2009,95.14319406
01/12/2009,95.53695186
01/01/2010,96.57547944
01/02/2010,97.13405005
01/03/2010,97.8236434
01/04/2010,97.5119472
01/05/2010,96.89751953
01/06/2010,96.86717743
01/07/2010,97.0775034
01/08/2010,97.34713439
01/09/2010,97.85743347
01/10/2010,98.46151724
01/11/2010,99.25041203
01/12/2010,99.74209209
01/01/2011,100.228
01/02/2011,100.604
01/03/2011,100.797
01/04/2011,100.789
01/05/2011,100.046
01/06/2011,100.041
01/07/2011,100.521
01/08/2011,100.68
01/09/2011,100.927
01/10/2011,101.608
01/11/2011,102.707
01/12/2011,103.551
01/01/2012,104.284
01/02/2012,104.496
01/03/2012,104.556
01/04/2012,104.228
01/05/2012,103.899
01/06/2012,104.378
01/07/2012,104.964
01/08/2012,105.279
01/09/2012,105.743
01/10/2012,106.278
01/11/2012,107
01/12/2012,107.246
01/01/2013,107.678
01/02/2013,108.208
01/03/2013,109.002
01/04/2013,109.074
01/05/2013,108.711
01/06/2013,108.645
01/07/2013,108.609
01/08/2013,108.918
01/09/2013,109.328
01/10/2013,109.848
01/11/2013,110.872
01/12/2013,111.508
01/01/2014,112.505
01/02/2014,112.79
01/03/2014,113.099
01/04/2014,112.888
01/05/2014,112.527
01/06/2014,112.722
01/07/2014,113.032
01/08/2014,113.438
01/09/2014,113.939
01/10/2014,114.569
01/11/2014,115.493
